ponto_id,lon_pred,lat_pred
0,-34.951728,-8.055605
3,-34.951728,-8.055605
8,-34.951728,-8.055605
10,-34.951728,-8.055605
12,-34.951728,-8.055605
14,-34.951728,-8.055605
17,-34.951728,-8.055605
19,-34.951728,-8.055605
23,-34.951728,-8.055605
29,-34.951728,-8.055605
30,-34.951728,-8.055605
31,-34.951728,-8.055605
33,-34.951728,-8.055605
36,-34.951728,-8.055605
37,-34.951728,-8.055605
39,-34.951728,-8.055605
41,-34.951728,-8.055605
46,-34.951728,-8.055605
47,-34.951728,-8.055605
48,-34.951728,-8.055605
50,-34.951728,-8.055605
56,-34.951728,-8.055605
58,-34.951728,-8.055605
59,-34.951728,-8.055605
61,-34.951728,-8.055605
65,-34.951728,-8.055605
68,-34.951728,-8.055605
69,-34.951728,-8.055605
70,-34.951728,-8.055605
73,-34.951728,-8.055605
76,-34.951728,-8.055605
79,-34.951728,-8.055605
80,-34.951728,-8.055605
81,-34.951728,-8.055605
87,-34.951728,-8.055605
88,-34.951728,-8.055605
91,-34.951728,-8.055605
92,-34.951728,-8.055605
93,-34.951728,-8.055605
95,-34.951728,-8.055605
96,-34.951728,-8.055605
99,-34.951728,-8.055605
100,-34.951728,-8.055605
101,-34.951728,-8.055605
102,-34.951728,-8.055605
103,-34.951728,-8.055605
104,-34.951728,-8.055605
106,-34.951728,-8.055605
107,-34.951728,-8.055605
108,-34.951728,-8.055605
111,-34.951728,-8.055605
118,-34.951728,-8.055605
119,-34.951728,-8.055605
122,-34.951728,-8.055605
131,-34.951728,-8.055605
132,-34.951728,-8.055605
135,-34.951728,-8.055605
144,-34.951728,-8.055605
149,-34.951728,-8.055605
151,-34.951728,-8.055605
157,-34.951728,-8.055605
164,-34.951728,-8.055605
167,-34.951728,-8.055605
168,-34.951728,-8.055605
169,-34.951728,-8.055605
172,-34.951728,-8.055605
176,-34.951728,-8.055605
177,-34.951728,-8.055605
179,-34.951728,-8.055605
180,-34.951728,-8.055605
181,-34.951728,-8.055605
185,-34.951728,-8.055605
196,-34.951728,-8.055605
199,-34.951728,-8.055605
209,-34.951728,-8.055605
211,-34.951728,-8.055605
212,-34.951728,-8.055605
214,-34.951728,-8.055605
217,-34.951728,-8.055605
218,-34.951728,-8.055605
221,-34.951728,-8.055605
222,-34.951728,-8.055605
229,-34.951728,-8.055605
230,-34.951728,-8.055605
233,-34.951728,-8.055605
239,-34.951728,-8.055605
245,-34.951728,-8.055605
247,-34.951728,-8.055605
248,-34.951728,-8.055605
251,-34.951728,-8.055605
252,-34.951728,-8.055605
257,-34.951728,-8.055605
263,-34.951728,-8.055605
265,-34.951728,-8.055605
267,-34.951728,-8.055605
274,-34.951728,-8.055605
286,-34.951728,-8.055605
288,-34.951728,-8.055605
291,-34.951728,-8.055605
292,-34.951728,-8.055605
300,-34.951728,-8.055605
304,-34.951728,-8.055605
308,-34.951728,-8.055605
311,-34.951728,-8.055605
315,-34.951728,-8.055605
316,-34.951728,-8.055605
318,-34.951728,-8.055605
319,-34.951728,-8.055605
321,-34.951728,-8.055605
323,-34.951728,-8.055605
328,-34.951728,-8.055605
330,-34.951728,-8.055605
332,-34.951728,-8.055605
333,-34.951728,-8.055605
334,-34.951728,-8.055605
335,-34.951728,-8.055605
337,-34.951728,-8.055605
346,-34.951728,-8.055605
349,-34.951728,-8.055605
350,-34.951728,-8.055605
353,-34.951728,-8.055605
354,-34.951728,-8.055605
360,-34.951728,-8.055605
367,-34.951728,-8.055605
379,-34.951728,-8.055605
381,-34.951728,-8.055605
385,-34.951728,-8.055605
388,-34.951728,-8.055605
393,-34.951728,-8.055605
394,-34.951728,-8.055605
400,-34.951728,-8.055605
401,-34.951728,-8.055605
402,-34.951728,-8.055605
408,-34.951728,-8.055605
