ponto_id,lat,lon
0,-8.05952,-34.94632
3,-8.05952,-34.94632
8,-8.05952,-34.94632
10,-8.05952,-34.94632
12,-8.05952,-34.94632
14,-8.05952,-34.94632
17,-8.05952,-34.94632
19,-8.05952,-34.94632
23,-8.05952,-34.94632
29,-8.05952,-34.94632
30,-8.05952,-34.94632
31,-8.05952,-34.94632
33,-8.05952,-34.94632
36,-8.05952,-34.94632
37,-8.05952,-34.94632
39,-8.05952,-34.94632
41,-8.05952,-34.94632
46,-8.05952,-34.94632
47,-8.05952,-34.94632
48,-8.05952,-34.94632
50,-8.05952,-34.94632
56,-8.05952,-34.94632
58,-8.05952,-34.94632
59,-8.05952,-34.94632
61,-8.05952,-34.94632
65,-8.05952,-34.94632
68,-8.05952,-34.94632
69,-8.05952,-34.94632
70,-8.05952,-34.94632
73,-8.05952,-34.94632
76,-8.05952,-34.94632
79,-8.05952,-34.94632
80,-8.05952,-34.94632
81,-8.05952,-34.94632
87,-8.05955,-34.94617
88,-8.05955,-34.94617
91,-8.05955,-34.94617
92,-8.05955,-34.94617
93,-8.05955,-34.94617
95,-8.05955,-34.94617
96,-8.05955,-34.94617
99,-8.05955,-34.94617
100,-8.05955,-34.94617
101,-8.05955,-34.94617
102,-8.05955,-34.94617
103,-8.05955,-34.94617
104,-8.05955,-34.94617
106,-8.05955,-34.94617
107,-8.05955,-34.94617
108,-8.05955,-34.94617
111,-8.05955,-34.94617
118,-8.05955,-34.94617
119,-8.05955,-34.94617
122,-8.05955,-34.94617
131,-8.05955,-34.94617
132,-8.05955,-34.94617
135,-8.05955,-34.94617
144,-8.05955,-34.94617
149,-8.05955,-34.94617
151,-8.05955,-34.94617
157,-8.05955,-34.94617
164,-8.05955,-34.94617
167,-8.05955,-34.94617
168,-8.05955,-34.94617
169,-8.05955,-34.94617
172,-8.05955,-34.94617
176,-8.05955,-34.94617
177,-8.05955,-34.94617
179,-8.05955,-34.94617
180,-8.05955,-34.94617
